Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
DEE Development,544198,DEEDEV,INE841L01016,Industrial Manufacturing,Industrial Products,622.25,4687.22,207.85,760.00,468.47,18.13,705.41,65.13,16.15,22.35,13.20,26.35,-41.91,28.05,18.55,17.79,0.00,57.17,374.66,38.76,1212.70,40.01,31.60,16.08,81.99,10.92,9.33,52.85,5.46,13.07,19.55,-60.16,466.93,62.69,3.73,42.55,47.56,-9.89,84.37,821.12,0.00,1160.39,24.12,4.84,294.46,44179.00,50143.00,50039.00,4.67,14.16,16.04,84.37
Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,658.45,4223.26,424.45,721.35,485.73,8.72,202.98,63.49,85.36,45.12,58.82,193.92,1334.63,103.26,71.35,71.22,0.00,10.18,321.76,45.58,970.14,48.75,39.81,89.14,414.75,16.47,19.19,132.59,31.96,1.93,270.09,209.95,483.99,128.22,15.45,60.76,51.26,1.49,52.78,1967.16,141.85,700.55,9.47,2.11,278.92,37020.00,37304.00,39019.00,1.47,1.53,33.50,52.78
Deepak Fertilis.,500645,DEEPAKFERT,INE501A01019,Chemicals & Petrochemicals,Commodity Chemicals,1464.20,18503.17,1768.18,1778.60,1365.75,12.91,5670.28,45.63,490.04,101.52,243.17,139.39,251.56,428.17,141.49,214.02,5.47,18.80,3487.83,16.04,12103.54,13.63,22.47,490.04,984.12,11.42,10.90,0.30,15.05,1.64,206.23,1879.66,1364.76,646.97,33.92,39.44,443.77,-1.97,536.22,6718.33,133.41,5904.95,11.25,2.70,3256.26,178847.00,196724.00,208392.00,10.02,14.69,29.68,536.22
Deepak Nitrite,506401,DEEPAKNTR,INE288B01029,Chemicals & Petrochemicals,Specialty Chemicals,1750.40,23880.31,1032.06,3169.00,1696.33,8.09,1637.72,49.34,345.02,207.50,112.20,219.74,56.94,255.59,99.82,118.75,0.00,30.14,2206.34,16.01,8574.79,7.12,36.39,345.01,792.24,11.37,9.82,30.54,13.38,2.72,538.95,624.70,1695.78,340.61,18.74,54.97,406.56,-4.90,269.01,5809.55,213.28,2875.39,18.29,4.09,2577.60,382905.00,396798.00,416258.00,6.24,23.76,20.65,269.01
Delhivery,543529,DELHIVERY,INE148O01028,Transport Services,Logistics Solution Provider,450.10,33870.54,1005.83,708.45,448.31,14.14,1462.57,0.00,31.91,-64.95,91.05,70.90,-55.93,-97.31,39.59,-50.50,0.00,283.96,3212.69,25.53,11145.04,23.10,27.76,31.91,119.28,2.82,1.87,-40.00,1.09,8.06,911.46,567.36,448.29,149.37,-1.30,37.16,335.97,-2.14,244.34,9612.09,2961.49,4977.15,35.52,3.48,2930.73,175609.00,167299.00,177546.00,41.93,43.07,15.00,244.34
Devyani Intl.,543330,DEVYANI,INE872J01023,Leisure Services,Restaurants,147.79,18228.00,914.78,227.75,127.26,22.70,3833.15,61.37,14.65,277.58,3.88,-13.59,273.88,-15.26,-10.98,-23.95,0.00,,1593.01,15.71,5835.03,14.72,16.47,17.11,-7.77,4.75,-1.56,31.40,1.08,1.98,926.52,900.22,127.06,241.87,-0.11,75.09,181.37,7.82,494.80,1418.53,2.46,852.42,22.74,11.82,1580.52,252889.00,252963.00,245827.00,6.81,18.84,12.97,494.80
Dhanuka Agritech,507717,DHANUKA,INE435G01025,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,996.30,4436.43,443.08,1975.00,1127.50,39.78,30.64,69.81,36.30,-34.59,55.50,97.77,-62.87,83.29,40.00,93.97,0.00,16.55,571.25,-4.51,1953.44,-5.62,-12.56,36.30,268.04,23.76,18.46,-11.70,7.86,2.13,196.20,262.66,1128.82,103.14,18.68,40.40,1.38,6.03,19.68,1672.86,371.25,1240.43,10.61,2.67,461.93,42508.00,38445.00,41813.00,1.64,18.71,9.83,19.68
Dhenu Buildcon,501945,,INE758D01027,Finance,Non Banking Financial Company (NBFC),7.07,4195.19,0.45,165.10,8.05,39.00,160.00,0.04,0.84,180.00,0.30,-2.05,131.70,,0.81,0.24,0.00,,,,1.61,403.12,283.87,0.84,-0.16,0.04,-0.23,-900.00,70.59,-83.57,-0.99,-19.82,8.06,,,21.81,0.02,-0.65,0.04,248.09,0.00,0.04,3690.81,4.99,1.19,1895.00,1895.00,1675.00,0.00,0.00,99.96,0.04
Dhoot Transmission,544867,DHOOTTRANS,INE01NH01023,Auto Components,Auto Components & Equipments,1468.65,30068.79,751.36,1495.00,1193.15,1.76,918.29,82.78,,,,,,,,,,73.06,,,4524.96,31.35,,,411.54,24.36,24.01,16.26,,,347.66,320.21,1190.38,,,,52.79,-0.99,1095.85,2396.65,0.01,2619.89,39.78,,,746831.00,,,2.30,5.84,9.08,1095.85
Diamond Power,522163,DIACABS,INE989C01038,Electrical Equipment,Other Electrical Equipment,353.90,21186.36,202.17,379.00,199.96,6.62,2459.59,84.02,57.09,197.81,19.17,57.21,6.69,71.76,46.00,25.19,0.00,114.22,940.71,111.25,2348.19,96.48,132.98,57.09,185.49,24.20,,396.76,8.07,-4.56,-12.15,80.55,198.41,91.67,1.20,66.14,12.64,-1.32,46.03,-667.26,3.00,924.54,95.58,,707.31,64103.00,52727.00,48474.00,1.77,0.23,13.98,46.03
Dilip Buildcon,540047,DBL,INE917M01012,Construction,Civil Construction,415.00,6743.89,2281.16,1248.35,444.81,29.41,8041.43,63.14,112.92,-1.98,115.21,60.90,3.38,25.34,788.98,214.07,14.16,12.07,1598.73,-16.99,8741.38,-19.08,-9.26,128.01,558.63,13.32,10.29,21.88,5.38,0.39,1204.20,131.00,445.11,324.56,1.38,43.85,1158.34,-16.49,327.52,6666.66,1557.02,9402.07,7.15,0.99,2377.78,59900.00,61010.00,64301.00,1.99,6.12,28.75,327.52
Dishman Carbogen,540701,DCAL,INE385W01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,172.41,2705.45,621.57,396.55,199.30,46.45,3076.06,59.32,-56.41,-327.64,24.78,22.25,-366.24,-8.93,-12.97,65.27,0.00,149.14,682.05,4.50,2901.49,0.20,-4.29,-57.88,18.14,3.15,1.58,-84.73,-8.32,0.58,491.45,375.23,199.58,110.74,-0.57,38.55,507.03,1.71,991.21,6645.54,91.45,2842.10,8.96,0.40,677.64,49430.00,49009.00,49744.00,6.86,2.06,31.76,991.21
Divgi Torq,543812,DIVGIITTS,INE753U01022,Auto Components,Auto Components & Equipments,1263.45,3862.32,92.30,1318.80,800.66,4.20,1.77,60.56,25.24,182.64,8.93,15.48,63.05,23.00,11.77,10.75,0.00,61.07,152.45,83.75,418.35,76.99,91.32,25.24,63.24,10.21,7.62,131.14,18.40,7.70,41.08,35.21,796.01,34.45,7.52,75.46,284.83,-2.13,294.52,620.17,0.05,450.23,31.08,6.08,137.14,17929.00,18093.00,20784.00,1.86,26.16,11.42,294.52
Divi's Lab.,532488,DIVISLAB,INE361B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,8570.00,228440.61,3949.00,8674.00,6798.52,1.20,7.00,51.88,902.00,65.50,545.00,751.00,20.11,1009.03,583.00,689.00,0.00,76.68,3216.80,18.48,11230.00,16.35,27.80,902.00,2979.27,21.97,16.53,29.20,29.29,9.12,2738.00,1653.00,6780.71,1156.17,38.01,72.73,3715.00,1.46,3414.00,16708.00,69.00,11096.00,50.92,13.57,3080.00,226324.00,228006.00,259825.00,20.19,19.29,8.53,3414.00
Dixon Technolog.,540699,DIXON,INE935N01020,Consumer Durables,Consumer Electronics,14850.00,90589.35,2601.01,19149.80,12826.21,19.61,994.22,28.55,663.42,194.89,224.97,256.41,140.91,431.54,320.56,745.70,0.00,48.26,16973.73,14.26,51584.80,14.34,21.13,717.83,1877.09,41.97,37.43,118.75,4.62,8.03,1782.29,1149.75,12805.87,594.96,65.23,67.79,263.53,6.30,941.06,4664.51,1006.84,13515.39,29.14,19.31,15547.66,470189.00,470326.00,408369.00,17.87,28.38,25.20,941.06
DLF,532868,DLF,INE271C01023,Realty,"Residential, Commercial Projects",676.15,168070.69,3064.70,1225.00,648.41,14.93,305.89,74.08,793.90,4.09,762.67,1240.95,-37.42,155.34,1203.36,1180.09,0.00,39.06,1241.51,-24.44,6757.66,-27.71,-52.87,793.90,4302.84,6.32,9.50,1.63,62.01,3.48,6347.38,5235.22,648.14,200.09,0.63,58.55,4338.08,10.49,7746.40,44978.31,21692.19,38849.28,55.06,3.68,1280.34,500743.00,506572.00,483029.00,12.31,8.03,5.56,7746.40
Dodla Dairy,543306,DODLA,INE021O01019,Food Products,Dairy Products,1138.00,6868.10,348.21,1525.00,1127.03,24.13,56.99,58.92,40.64,-35.36,62.87,66.61,-41.72,58.37,68.74,65.67,0.00,27.77,1183.98,16.21,4316.27,13.13,18.98,40.64,247.35,16.72,16.45,-4.05,3.39,2.40,294.86,519.79,1126.92,83.36,9.68,67.09,101.59,9.27,237.94,1613.75,411.41,442.35,19.22,4.10,1197.94,33213.00,33649.00,37798.00,6.08,25.85,9.16,237.94
Dolphin Offshore,522261,DOLPHIN,INE920A01037,Oil,Offshore Support Solution Drilling,621.60,2486.68,89.80,948.75,412.53,5.28,203.21,74.99,14.81,30.71,11.33,28.33,-47.72,25.47,13.27,15.61,0.00,34.53,53.25,116.30,142.83,73.95,160.64,14.81,72.02,14.92,21.90,43.29,34.56,18.40,45.34,10.47,410.43,36.44,6.37,89.58,8.42,-12.00,9.96,349.43,33.79,248.83,26.93,7.04,42.85,13344.00,13892.00,13526.00,4.57,0.31,20.13,9.96
DOMS Industries,544045,DOMS,INE321T01012,Household Products,Stationary,2209.90,13389.23,420.97,3115.00,2335.20,20.22,141.26,63.38,44.49,-22.33,57.28,56.74,-22.20,76.64,61.41,60.86,0.00,61.59,677.69,19.33,2434.59,19.94,19.25,45.28,217.40,24.32,20.69,4.63,6.75,6.34,254.34,183.33,2336.46,104.77,12.41,42.00,225.37,-0.94,61.79,1159.04,1.50,639.35,33.30,11.00,670.51,60383.00,57685.00,69946.00,7.50,25.91,3.20,61.79
Dr Agarwal's Eye,526783,DRAGARWQ,INE934C01018,Healthcare Services,Hospital,5307.00,2570.40,151.13,7300.00,4972.96,16.97,326.13,72.67,23.38,35.46,17.26,16.24,43.97,28.34,17.28,19.32,7.67,33.72,142.48,21.03,496.92,20.01,22.28,23.38,76.22,17.36,25.22,31.87,16.35,2.26,145.14,94.48,4969.60,44.63,58.65,58.91,12.17,3.22,6.71,341.47,89.06,136.54,18.24,7.41,142.97,22954.00,24036.00,35976.00,2.24,2.05,23.03,6.71
Dr Agarwal's Hea,544350,AGARWALEYE,INE943P01029,Healthcare Services,Hospital,503.10,16018.21,614.01,568.00,468.76,11.43,1066.20,32.34,45.23,50.52,30.05,39.02,10.13,65.31,43.63,36.49,0.00,108.47,617.72,23.87,2206.68,22.94,25.97,55.02,147.68,11.12,6.81,43.47,8.96,3.95,518.99,360.33,468.41,170.63,1.69,50.71,258.13,2.38,129.22,1993.78,152.34,572.97,26.10,7.87,614.02,42492.00,43538.00,63021.00,57.97,7.72,1.97,129.22
Dr Lal Pathlabs,539524,LALPATHLAB,INE600L01024,Healthcare Services,Healthcare Service Provider,1889.40,31720.08,876.36,2122.75,1596.15,5.02,198.99,53.19,169.50,28.02,132.40,131.30,28.97,195.80,91.40,152.20,0.00,56.42,847.60,16.01,2890.80,14.29,19.10,170.50,562.23,28.00,22.30,9.57,21.37,4.80,635.61,568.89,1593.20,253.07,11.60,56.92,838.68,19.03,909.54,2340.58,422.59,1143.90,32.89,12.62,797.70,111037.00,114527.00,118656.00,17.35,21.59,7.48,909.54
Dr Reddy's Labs,500124,DRREDDY,INE089A01031,Pharmaceuticals & Biotechnology,Pharmaceuticals,1180.00,98407.64,7570.60,1421.49,1252.29,16.60,7734.10,26.63,444.30,-68.67,1418.10,220.90,96.84,677.84,1189.60,1336.80,0.00,30.54,8530.31,-3.38,33227.90,-0.87,-5.51,435.60,3222.20,13.04,11.22,-43.28,5.38,1.67,5673.70,4642.80,1253.02,1351.84,8.12,44.56,2460.20,4.13,3348.70,37808.00,5284.80,26356.00,15.63,2.60,8099.80,446086.00,449665.00,451929.00,20.67,31.75,20.76,3348.70
Dredging Corpn.,523618,DREDGECORP,INE506A01018,Engineering Services,Dredging,1118.30,3134.93,253.46,1457.95,979.61,13.04,1105.53,73.47,11.24,148.18,-23.33,86.91,-87.07,-9.86,-24.63,-34.18,0.00,79.69,249.15,17.64,1321.53,7.13,46.73,11.24,39.34,4.28,0.39,205.92,3.16,1.57,142.40,111.95,978.21,40.29,-3.52,53.01,48.14,-10.39,143.34,1216.55,0.00,990.85,15.50,2.52,355.43,49078.00,48530.00,48128.00,1.03,6.68,18.79,80.19
Dynamatic Tech.,505242,DYNAMATECH,INE221B01012,Industrial Manufacturing,Industrial Products,11765.00,8001.97,212.39,12875.00,9890.08,8.62,637.89,41.50,20.79,93.04,10.77,17.84,65.53,19.72,5.77,3.31,0.00,136.58,462.18,17.79,1675.22,17.28,14.53,20.79,58.59,9.98,6.62,38.12,4.89,5.56,95.34,144.33,9871.24,56.20,31.09,65.95,45.90,3.19,67.65,786.73,0.33,925.13,38.01,9.40,424.81,25288.00,26206.00,19403.00,10.26,15.86,32.38,67.65
Dynamic Cables,540795,DYCL,INE600Y01019,Industrial Products,Cables - Electricals,453.60,2199.56,134.04,547.51,359.31,12.77,43.09,68.18,24.95,37.01,18.21,24.17,3.23,31.21,22.42,19.64,0.00,24.12,341.50,21.29,1284.89,19.10,33.22,24.95,91.18,26.21,19.92,27.67,7.15,4.18,61.59,56.32,358.36,37.36,6.44,63.72,31.87,1.17,28.21,408.78,30.62,514.27,15.19,4.81,349.10,51019.00,48957.00,45876.00,0.67,0.98,30.17,28.21
E2E Networks,544783,E2E,INE255Z01027,IT - Services,IT Enabled Services,623.85,12784.68,160.27,698.00,362.07,10.62,159.08,39.45,43.88,1645.07,-2.84,6.44,581.37,-19.56,-5.70,-13.46,0.00,410.29,152.32,247.77,366.22,130.70,334.12,43.88,31.16,-0.51,-0.95,-9.71,27.99,16.24,122.06,88.47,359.44,88.80,-0.95,62.22,1356.94,-24.32,365.93,1664.50,0.00,608.48,47.63,7.61,156.76,86433.00,68946.00,50655.00,1.27,6.07,53.15,365.93
Easy Trip Plann.,543272,EASEMYTRIP,INE07O001026,Leisure Services,"Tour, Travel Related Services",6.09,2422.69,21.11,36.75,7.75,42.55,35.45,43.56,-11.41,-964.39,1.32,-13.58,24.14,-11.01,3.41,-36.04,5.97,,128.40,8.50,556.62,1.48,18.38,-11.69,-15.39,0.63,-0.71,-120.20,-8.68,7.30,-4.07,111.82,7.77,-5.65,-0.03,31.75,143.28,1.65,86.94,437.65,172.48,682.68,294.93,2.76,134.71,991281.00,1015650.00,1089618.00,5.95,1.99,48.49,86.94
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1804.80,16974.74,1141.74,2497.50,1740.91,27.74,384.95,54.53,164.34,15.99,141.68,189.36,-13.40,243.03,191.81,183.46,0.00,23.29,1240.62,23.46,4334.83,23.20,23.31,164.24,728.87,34.42,28.36,27.61,14.25,2.27,873.47,654.62,1740.27,312.30,25.84,50.37,739.13,20.86,737.99,2469.37,307.85,2106.20,13.84,6.63,1152.36,74342.00,67142.00,66300.00,11.01,23.84,8.43,737.99
Edelweiss.Fin.,532922,EDELWEISS,INE532F01054,Finance,Holding Company,126.62,11977.14,3561.25,202.63,114.37,5.44,18595.00,32.26,122.22,83.05,66.77,87.60,1.83,147.92,270.36,175.45,6.68,19.02,2614.12,40.48,10507.90,13.98,3.69,134.37,629.70,14.10,13.52,54.83,5.77,0.33,897.24,2051.75,114.25,742.32,1.42,62.88,5240.68,7.59,3479.86,4528.47,19881.35,8114.74,7.86,2.59,2328.50,352071.00,375474.00,261894.00,19.47,7.25,41.01,3479.86
EFC (I),512008,EFCIL,INE886D01026,Commercial Services & Supplies,Diversified Commercial Services,190.66,2829.78,485.38,367.94,218.17,44.29,1405.92,56.08,69.00,58.91,43.42,69.40,2.89,98.86,62.42,56.72,0.00,11.00,352.89,38.61,1099.94,42.05,28.80,70.85,257.14,19.85,34.30,60.33,25.05,7.59,55.97,133.68,218.45,155.01,6.51,54.00,141.22,0.48,88.29,779.80,0.00,736.20,8.07,3.49,282.88,25889.00,24347.00,21021.00,1.26,8.88,33.78,88.29
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,8042.00,221567.56,8070.88,8232.80,7208.48,2.32,513.95,49.03,1462.51,21.35,1205.22,1519.95,-3.78,1601.37,1420.61,1369.45,0.00,38.09,7818.56,26.69,24998.14,28.07,31.55,1462.51,5816.45,30.53,23.96,20.22,22.05,5.26,4804.84,3979.92,7200.11,1913.57,58.33,61.13,263.01,13.23,256.04,25072.72,17495.94,6722.28,26.13,8.79,6632.42,283648.00,280399.00,254118.00,25.52,15.97,9.40,256.04
EID Parry,500125,EIDPARRY,INE126A01031,Food Products,Other Food Products,810.25,14417.03,3652.58,1246.80,841.01,32.28,3528.07,41.28,141.60,-42.50,246.28,13.82,208.47,764.96,437.00,766.16,0.00,17.76,13087.36,12.58,38836.49,15.65,3.41,311.50,811.98,16.96,7.85,-9.58,3.45,0.71,1541.51,1936.39,841.32,1173.60,19.54,59.93,3691.01,4.65,1308.52,8748.33,2476.56,16716.78,4.52,1.64,9017.52,124851.00,112287.00,118705.00,11.21,16.67,30.84,1308.52
EIH,500840,EIHOTEL,INE230A01023,Leisure Services,Hotels & Resorts,299.90,18760.97,1245.27,566.00,331.63,31.03,252.42,32.85,117.14,-1.91,119.42,237.62,-51.70,153.43,254.75,116.56,0.00,25.84,658.05,10.05,3023.01,8.34,14.54,120.31,726.07,20.67,14.48,-7.56,18.31,2.40,992.93,825.08,331.95,192.14,2.39,36.12,912.13,7.14,933.96,5137.21,655.96,1377.75,14.41,3.56,656.96,121473.00,120134.00,128188.00,6.65,13.78,46.73,933.96
Elantas Beck,500123,ELANTAS,INE280B01018,Chemicals & Petrochemicals,Specialty Chemicals,11599.50,9189.78,220.12,14980.00,9798.07,12.13,0.00,75.00,70.86,80.35,39.29,31.08,127.99,56.40,39.37,36.26,0.00,51.75,263.21,21.55,937.31,17.66,34.99,70.86,177.57,21.21,15.73,33.54,25.00,8.45,127.11,63.22,9779.96,63.26,71.14,62.64,153.39,4.83,69.11,1096.02,641.62,1024.26,34.99,8.33,283.39,9155.00,9307.00,8754.00,0.05,12.28,12.67,76.60
Elcid Investment,503681,ELCIDIN,INE927X01018,Finance,Investment Company,109000.00,2175.29,129.12,332399.95,116404.24,24.57,0.00,75.00,57.57,-18.48,70.62,-41.22,239.67,,47.38,31.74,0.00,22.79,,744.67,115.39,-8.11,-20.20,57.57,95.47,1.43,1.21,8.91,78.44,2.56,69.65,94.10,116478.66,,,38.99,2.33,0.81,2.32,8673.25,9954.74,5.16,19.64,0.25,73.39,2621.00,2616.00,2833.00,0.00,0.06,24.95,2.32
Elecon Engg.Co,505700,ELECON,INE205B01031,Electrical Equipment,Heavy Electrical Equipment,451.70,10138.51,600.54,739.10,483.48,28.86,272.65,59.28,70.35,-34.57,107.52,72.28,1072.50,88.46,71.99,87.72,0.00,33.53,588.62,1.81,2396.04,3.05,6.11,70.35,302.34,20.86,16.43,-32.70,13.51,2.48,314.22,425.41,483.80,124.39,3.94,51.79,358.44,12.87,212.64,2283.41,742.75,1360.33,17.63,4.40,520.56,116624.00,122574.00,115501.00,6.99,7.18,26.52,212.64
Electronics Mart,543626,EMIL,INE02YR01019,Retailing,Diversified Retail,191.06,7354.48,446.40,262.00,126.18,2.94,1996.98,65.17,120.64,351.33,26.73,36.83,203.65,65.05,29.65,16.14,0.00,37.50,1989.59,25.06,7862.82,20.15,39.07,120.64,196.12,8.14,6.50,77.81,4.99,3.29,443.71,175.79,125.53,143.91,1.69,80.69,30.53,1.28,49.75,1241.39,0.00,1679.47,16.13,4.52,2418.95,104678.00,109259.00,114132.00,4.77,20.89,9.16,49.75
Electrost.Cast.,500128,ELECTCAST,INE086A01029,Industrial Products,Iron & Steel Products,71.89,4447.85,557.08,236.65,80.93,33.87,1561.06,50.14,48.32,-45.74,89.05,15.98,202.50,8.08,-21.87,78.29,10.54,27.96,1216.01,-12.88,5785.91,-15.73,-8.48,48.37,159.09,5.00,3.04,-72.22,3.39,0.68,1146.63,480.45,81.02,72.13,0.13,45.32,205.63,7.84,332.70,5861.50,577.78,4170.25,11.03,0.75,1425.57,179894.00,176913.00,182189.00,12.80,0.37,36.47,332.70
Elgi Equipments,522074,ELGIEQUIP,INE285A01027,Industrial Products,"Compressors, Pumps & Diesel Engines",632.45,20031.92,660.40,799.00,546.91,1.79,533.10,31.19,108.71,27.00,85.60,128.00,-19.30,134.91,95.20,121.40,0.88,43.17,1136.66,17.42,4146.20,15.94,22.56,103.30,463.99,22.07,19.00,27.86,10.23,5.88,453.50,390.90,546.05,166.35,4.26,65.03,874.50,11.38,718.00,2200.20,164.60,2367.90,26.92,8.98,1062.20,89318.00,89695.00,76951.00,21.90,10.12,36.30,718.00
Elitecon Inter.,539533,ELITECON,INE669R01026,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,16.79,2687.07,71.61,422.65,52.44,96.03,375.99,59.43,103.57,676.39,13.34,101.88,-11.63,,72.08,42.97,0.00,8.38,,,4771.38,,1750.04,103.57,320.50,,43.47,,5.95,,-0.03,,52.80,,,37.01,,,2.67,185.86,0.00,1792.78,7.33,7.76,1741.26,79969.00,68751.00,17461.00,36.43,0.00,4.14,10.94
Ellen.Indl.Gas,544421,ELLEN,INE236E01022,Chemicals & Petrochemicals,Industrial Gases,324.35,4578.21,166.27,651.40,302.32,42.06,184.42,77.15,34.96,86.85,18.71,22.88,52.80,27.80,26.09,36.72,0.00,37.95,100.32,12.51,356.67,8.47,18.04,34.96,120.65,15.23,14.20,40.60,35.41,7.88,132.55,4.28,302.09,36.20,1.97,64.20,3.02,-4.64,72.17,948.95,397.23,298.96,25.57,4.68,98.72,54735.00,52776.00,208118.00,1.08,11.63,10.15,72.17
Elpro Internatio,504000,ELPROINTL,INE579B01039,Realty,"Residential, Commercial Projects",176.44,3001.43,221.79,183.35,132.89,3.77,1208.96,75.00,116.14,56.27,74.32,-91.97,226.28,,93.80,11.22,77.33,23.23,,764.76,567.12,53.55,39.09,116.14,129.19,6.57,4.30,39.09,83.73,9.19,69.10,218.59,132.45,,,56.02,3.42,-0.08,40.79,2013.54,2387.79,528.06,14.02,1.47,138.70,12807.00,15801.00,17485.00,7.05,0.06,17.89,40.79
Emami,531162,EMAMILTD,INE548C01032,Personal Products,Personal Care,407.40,17774.14,1001.29,860.00,453.89,35.81,161.92,54.84,137.35,-16.38,164.26,143.18,-2.95,151.70,319.48,148.35,16.23,23.46,850.55,6.52,3914.63,2.82,14.95,138.94,757.49,28.09,26.17,-7.41,13.37,1.84,800.53,895.86,454.36,196.39,3.44,51.47,272.90,26.96,409.84,2880.33,834.31,1462.98,16.63,6.08,1039.21,131617.00,127615.00,126599.00,7.87,27.00,10.28,409.84
Embassy Develop,532832,EMBDL,INE069I01010,Realty,"Residential, Commercial Projects",63.08,8763.68,-308.74,788.49,69.11,40.32,5322.14,42.65,-234.29,-41.27,-165.85,-327.79,27.53,-247.34,-233.34,-152.62,64.87,,256.20,-48.04,1265.10,-46.63,-68.17,-234.40,-943.84,-2.44,-9.19,-1333.75,-108.14,4.29,44.48,1460.87,69.17,-115.40,-1.78,52.31,414.61,2.98,1001.83,9589.92,164.53,14120.61,-31.81,0.89,216.75,257137.00,262132.00,270360.00,23.43,3.02,30.85,1001.83
Embassy Off.REIT,542602,EMBASSY,INE041025011,Realty,Real Estate Investment Trusts (REITs),435.24,41235.30,3680.10,512.00,429.29,5.79,22535.31,,195.22,25.81,155.17,-430.02,145.40,241.85,381.22,232.18,0.00,168.10,1290.73,14.79,4763.38,14.38,17.08,195.22,245.30,5.61,1.26,-84.68,15.73,1.17,3521.73,3079.32,429.23,992.74,2.55,43.45,676.59,3.49,980.38,-8046.03,2927.55,1469.64,16.27,1.99,1240.81,,,,,,,980.38
Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,1881.40,35616.74,1877.21,2048.00,1651.17,8.13,1557.99,77.83,293.98,40.45,209.32,236.47,20.01,400.84,231.37,251.37,0.04,34.58,2716.37,19.67,9683.45,18.36,22.85,292.49,1030.06,23.97,20.13,36.79,11.33,3.23,943.55,851.71,1648.85,560.31,21.13,45.62,165.30,9.16,147.52,4760.44,19.70,5612.10,18.59,7.21,2580.45,124991.00,122189.00,133549.00,4.87,8.46,8.84,147.52
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,325.60,22542.76,1787.89,371.55,272.73,12.37,360.06,80.03,380.29,102.64,187.67,392.38,-3.08,570.75,263.64,237.86,0.00,17.69,1983.50,75.38,5577.58,84.07,51.34,380.29,1274.17,44.83,51.12,140.80,24.45,7.29,200.14,613.75,272.20,695.14,8.24,51.30,324.12,-12.56,353.65,3556.47,57.36,3059.68,11.35,6.10,1555.52,132931.00,93389.00,,2.92,9.80,7.24,353.65
EMS,543983,EMSLIMITED,INE0OV601013,Other Utilities,Waste Management,405.00,2247.86,152.68,1016.85,401.79,31.93,154.25,69.70,15.48,-59.13,37.88,5.59,171.28,13.90,19.29,28.14,21.95,32.99,114.39,-34.07,651.59,-34.02,-34.18,15.49,68.14,12.51,8.91,-63.09,9.85,-12.76,-14.90,33.54,401.76,20.66,2.50,54.47,161.66,-5.86,58.95,999.88,10.39,812.29,18.84,2.13,157.24,120731.00,119086.00,129977.00,0.14,0.05,30.10,58.95
eMudhra,543533,EMUDHRA,INE01QM01018,IT - Services,IT Enabled Services,550.00,4562.17,166.72,1024.00,523.22,27.96,28.78,54.40,32.15,29.22,24.88,28.96,8.22,40.46,29.00,26.45,0.00,39.65,225.93,30.68,745.01,29.74,29.48,32.00,115.06,15.69,12.63,25.52,16.78,5.04,132.85,101.62,522.95,54.55,4.89,67.79,107.31,-1.39,65.20,870.11,46.04,391.32,24.60,5.00,190.72,70010.00,69646.00,79507.00,3.92,10.55,31.12,65.20
Endurance Tech.,540153,ENDURANCE,INE913H01037,Auto Components,Auto Components & Equipments,3001.70,42243.97,2054.16,3079.90,2616.44,2.54,1326.66,75.00,244.52,8.03,226.35,276.45,-11.55,356.08,221.64,227.27,0.00,42.90,4696.98,31.10,15591.88,29.35,30.01,244.52,984.61,17.80,14.87,15.93,5.67,2.80,1850.72,1531.69,2612.56,612.37,25.31,63.25,1018.90,6.10,874.81,6700.16,1030.69,4333.21,19.59,6.17,4314.89,90114.00,87362.00,84618.00,12.69,10.06,2.24,874.81
