Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
NELCO,504112,NELCO,INE045B01015,IT - Hardware,Computers Hardware & Equipments,912.00,2077.53,33.73,1502.75,804.98,18.62,72.84,50.09,2.08,15.56,1.80,1.09,114.68,1.35,-1.19,1.62,0.00,348.00,79.17,6.51,311.84,2.05,7.01,2.34,5.97,7.21,0.46,-11.82,2.60,4.41,15.26,19.66,803.90,7.74,0.59,45.00,14.61,4.59,20.25,106.01,4.22,182.04,64.20,16.15,80.03,69141.00,71660.00,70299.00,5.62,0.05,43.99,20.25
Neogen Chemicals,542665,NEOGEN,INE136S01016,Chemicals & Petrochemicals,Specialty Chemicals,2259.10,6185.39,143.71,2483.90,1720.54,9.05,1395.09,53.00,17.11,66.76,10.26,11.39,50.22,13.65,3.69,3.37,23.00,173.94,257.34,23.33,925.53,18.00,34.04,17.11,35.56,6.46,3.58,-12.07,6.84,-26.44,-231.48,195.98,1715.13,42.84,4.98,60.05,4.96,-20.39,4.95,789.87,0.45,1392.51,46.40,7.30,250.29,61988.00,54332.00,46321.00,4.11,19.60,23.27,4.95
Nephrocare Health Services,544647,NEPHROPLUS,INE428V01029,Healthcare Services,Healthcare Service Provider,674.15,6827.11,246.96,769.75,592.78,12.42,79.71,63.85,31.97,34.89,23.70,30.37,5.27,,32.24,-9.47,0.00,80.22,,,1052.82,32.16,23.69,31.97,85.11,15.34,8.83,11.62,11.35,5.86,232.58,135.35,591.96,,,46.80,155.39,4.59,255.46,1096.43,177.78,668.53,25.38,6.06,281.75,44091.00,43409.00,,8.78,9.05,18.30,255.46
NESCO,505355,NESCO,INE317F01035,Commercial Services & Supplies,Diversified Commercial Services,1032.60,7279.57,595.81,1638.90,1138.49,36.99,271.72,68.54,99.96,3.97,96.14,93.05,7.43,126.02,104.64,118.91,0.00,17.48,287.61,20.25,950.52,21.24,9.55,99.96,416.56,18.54,14.84,3.73,47.20,1.85,387.79,348.90,1139.55,148.63,17.88,39.67,18.73,-1.10,24.94,2982.33,1519.70,165.30,12.60,2.43,211.80,46381.00,46130.00,43336.00,4.32,4.12,23.03,24.94
Nestle India,500790,NESTLEIND,INE239A01024,Food Products,Packaged Foods,1458.00,280211.01,5342.42,1553.00,1359.02,6.12,444.16,62.76,979.67,48.61,659.23,1140.75,-12.48,1343.87,1018.06,753.20,0.00,74.63,6875.54,21.83,24436.62,19.30,25.16,975.12,3754.89,84.14,73.17,24.81,15.36,6.54,5047.56,2934.53,1358.03,1594.52,6.97,43.31,95.65,44.99,1340.87,5116.41,705.60,4590.47,48.14,52.95,6378.18,479696.00,492124.00,519439.00,10.30,11.89,15.04,1340.87
Netweb Technol.,543945,NETWEB,INE0NT901020,IT - Services,IT Enabled Services,5419.80,30878.09,303.68,5449.90,3878.64,0.55,282.23,66.98,85.32,179.92,30.48,70.59,20.87,84.40,73.31,31.43,0.00,118.47,707.44,132.93,2702.04,107.70,172.13,85.32,260.65,37.50,32.84,102.07,10.41,59.11,171.49,-13.21,3863.15,100.52,14.82,65.50,179.53,5.38,589.35,711.91,0.00,2189.90,79.04,42.67,819.69,246932.00,243292.00,181134.00,9.27,5.91,17.84,589.35
Network People,544396,NPST,INE0FFK01017,Financial Technology (Fintech),Financial Technology (Fintech),1606.90,3345.53,65.13,3577.00,1496.76,32.72,13.76,60.48,11.05,53.69,7.19,12.24,-9.72,18.77,11.54,9.84,0.00,74.91,91.93,96.93,217.76,47.17,68.00,11.05,44.66,19.67,15.00,25.13,19.56,26.21,-45.43,29.06,1495.65,24.03,8.99,55.77,94.42,-3.08,309.38,419.60,0.77,444.08,41.99,7.61,56.48,9986.00,8162.00,5473.00,0.08,10.02,29.42,309.38
Netwrk.18 Media,532798,NETWORK18,INE870H01013,Entertainment,Media & Entertainment,30.59,4725.39,374.72,581.26,36.43,47.35,3287.71,56.89,-38.71,-2074.55,-1.78,-18.40,-29.55,-77.28,-5.29,41.25,0.00,,441.56,-11.30,2169.22,-48.53,10.34,-38.36,-1.70,3.02,0.76,98.67,-7.43,-0.18,-28.10,-1912.05,36.49,5.95,-0.50,57.28,4.39,-48.85,39.68,4152.91,6123.38,980.56,23.49,0.96,516.26,525106.00,531580.00,570692.00,4.33,0.12,38.66,39.68
Neuland Labs.,524558,NEULANDLAB,INE794A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,23568.00,30228.59,602.39,23881.00,16665.46,1.31,301.27,32.62,147.67,962.37,13.90,212.67,-30.56,280.54,40.57,96.85,2.29,60.73,1059.15,105.95,2371.81,78.33,119.16,147.67,497.76,26.47,21.25,277.69,23.02,9.89,346.68,317.40,16596.08,333.76,218.66,71.14,258.82,3.13,354.96,1861.57,1.98,1483.13,38.02,16.13,641.58,44340.00,46304.00,42419.00,21.08,16.52,29.79,354.96
New India Assura,540769,NIACL,INE470Y01017,Insurance,General Insurance,183.08,30143.98,1317.66,382.42,168.21,16.02,0.00,85.44,-242.65,-160.61,400.33,577.92,-141.24,-90.22,380.00,55.30,0.00,39.18,14542.00,8.12,49962.43,11.34,1.54,-239.15,769.28,4.29,4.92,-35.77,-2.01,-0.54,-4532.06,-3389.71,168.06,-90.27,-0.55,56.25,17710.50,-14.83,19289.89,0.00,0.00,0.00,45.47,,11899.69,166768.00,155586.00,158078.00,1.02,11.17,2.36,0.00
Newgen Software,540900,NEWGEN,INE619B01017,IT - Software,Computers - Software & Consulting,527.35,7512.38,460.10,1798.90,605.93,49.39,39.36,53.45,62.82,26.35,49.72,112.25,-40.90,88.41,62.82,81.74,0.00,21.91,432.61,7.94,1610.42,7.88,11.23,62.82,342.80,25.01,19.59,8.01,17.61,2.98,231.86,214.98,606.72,99.41,6.20,47.74,415.50,13.44,411.52,1636.19,703.08,1311.13,14.55,4.22,356.68,200312.00,193680.00,147452.00,13.78,8.15,23.88,411.52
Nexus Select,543913,NXST,INE0NDH25011,Realty,Real Estate Investment Trusts (REITs),167.98,25456.52,1753.97,191.90,158.84,12.46,6203.15,,156.52,30.89,119.58,12.18,1185.06,197.22,139.40,132.32,77.38,57.80,706.42,11.97,2634.94,12.33,10.91,156.52,440.42,5.83,2.69,-4.84,23.00,,1661.99,1532.41,158.75,479.59,1.30,55.73,77.00,6.55,59.95,-1884.92,1317.96,239.02,16.92,1.93,680.53,,,,,,,59.95
