TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-19,2026-08-19,CM,BSE,STK,500228,INE019A01038,JSWSTEEL,A,,,,,JSW STEEL LTD.,1275.00,1284.20,1262.00,1281.30,1281.30,1280.00,,1285.79,,,256580,327690161.00,185824,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500233,INE217B01036,KAJARIACER,A,,,,,KAJARIA CERAMICS LTD.,1217.05,1224.50,1202.80,1212.40,1220.90,1228.20,,1209.17,,,9258,11214815.00,662,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500234,INE437B01014,KAKATCEM,B,,,,,KAKATIYA CEMENT SUGAR & INDUST,115.00,115.20,115.00,115.00,115.00,109.85,,114.98,,,613,70597.00,6,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500235,INE907A01026,KSL,B,,,,,KALYANI STEELS LTD.,809.95,890.00,809.95,875.20,877.05,820.80,,875.54,,,5691,4946859.00,487,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500236,INE252C01023,KANELIND,XT,,,,,KANEL INDUSTRIES LIMITED,56.40,62.31,56.39,62.31,62.31,59.35,,62.31,,,15113,902075.00,66,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500238,INE716A01013,WHIRLPOOL,A,,,,,WHIRLPOOL OF INDIA LTD.,772.00,772.05,750.10,752.75,765.00,768.65,,753.41,,,10972,8310941.00,888,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500239,INE104A01012,KGDENIM,X,,,,,KG DENIM LTD.,14.95,14.95,14.20,14.21,14.74,14.85,,14.21,,,1505,21391.00,11,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500240,INE266B01017,KINETICENG,XT,,,,,KINETIC ENGINEERING LTD.,241.75,242.00,230.05,236.40,236.90,237.35,,236.40,,,17225,4072419.00,179,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500241,INE732A01036,KIRLOSBROS,A,,,,,KIRLOSKAR BROTHERS LTD.,1911.00,1973.00,1911.00,1950.90,1955.45,1908.15,,1951.39,,,6589,12861082.00,940,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500243,INE250A01039,KIRLOSIND,B,,,,,KIRLOSKAR INDUSTRIES LTD,3751.50,3766.05,3711.30,3721.70,3712.00,3772.15,,3729.59,,,67,249916.00,41,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500245,INE884B01025,KIRLFER,B,,,,,KIRLOSKAR FERROUS INDUSTRIES L,435.95,437.95,430.00,430.30,430.30,435.95,,430.16,,,5652,2453698.00,301,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500246,INE601C01013,ENVAIREL,XT,,,,,ENVAIR ELECTRODYNE LTD.,46.04,46.04,44.25,44.26,44.26,45.15,,44.26,,,1230,54608.00,11,F1,1,,,,,
